step,objective,rmse,rmse_linear,rho,dx_norm,cond_A,lambda,accepted,vcd_o2_intercept,vcd_o2_slope,vcd_h2o_intercept,vcd_h2o_slope,p_o2_hpa,t_o2_k,p_h2o_hpa,t_h2o_k,continuum_scale,sif_ev1,sif_ev2,legendre_p0,legendre_p1,legendre_p2,legendre_p3
0,33821.22712361166,0.2854766765043686,NaN,NaN,0.0,NaN,1.0,true,3.981071705534985e24,0.0,3.981071705534969e22,0.0,700.0,280.0,700.0,280.0,9.530619462713496,0.0,0.0,0.9652176072954226,-0.36048953388190913,0.0,0.0
1,0.4088586493739349,0.09925732037267931,0.01902243506991863,0.8830325595795832,4.886342404489826e22,1.46314880816008e8,0.7,true,3.944410502836682e24,-8.611474037031212e21,7.091212064549038e22,1.461381448562065e21,768.4740763427659,239.26405167470534,100.0,278.86495043009705,9.081832527549935,0.09492259534579603,0.12272941284087122,1.0279674043340843,-0.3370537366354507,0.03725615638203086,-0.006094312454190035
2,0.011303865322749303,0.016504008511077486,0.015260873098929916,0.9958948382548949,5.363062697953029e22,2.1424671968263987e8,0.48999999999999994,true,3.9569001250728944e24,-1.4865173712177828e22,1.105530119187082e23,3.477420879858187e22,810.4299803643945,264.79498886341776,170.91146021042755,252.52884183139489,9.101504671294467,0.04858801899938598,0.16570889414482665,1.0340651244455805,-0.33067659131987187,0.03461685391762881,-0.011396310484056253
3,0.010989050625585335,0.016272565889143425,0.015655865953683106,0.2781145449005442,2.2778293572183637e22,3.0924780709884685e8,0.3429999999999999,true,3.943904586466213e24,-2.0629854838466424e22,1.2291588784059072e23,4.757633302994212e22,827.0630128381639,267.3940061804345,134.47681254157578,255.7443237725885,9.11544992344224,0.04578271524229071,0.15007815299072305,1.033000043819678,-0.3304145255977455,0.03363900683353165,-0.01141313128415092
4,0.010054349234596372,0.015565136540758091,0.01549168048715352,0.9080273551358157,2.308289401683047e22,4.412431447884893e8,0.24009999999999992,true,3.9290593787633525e24,-3.032576908507083e22,1.3330178114914141e23,5.809119258949199e22,839.6044704690211,270.35624313889997,120.68067694357211,252.9221826960952,9.115551221758444,0.04178887670251292,0.1460436712058691,1.0335689468180091,-0.3301935430655792,0.03293345346561525,-0.011793970976490162
5,0.009899264284876207,0.015444626534565272,0.01543965994325784,0.9605720336008574,2.802464373031579e22,6.298202720668094e8,0.16806999999999994,true,3.9059217137917846e24,-4.368239344100684e22,1.39188639172385e23,6.417186724804733e22,851.5299120183483,272.37999927110775,113.38205240698704,251.24755889198798,9.116601585713601,0.040414204750553656,0.14257827542202112,1.033684231564953,-0.3301176550297211,0.032598474833608386,-0.01191652838499123
6,0.009861286544147047,0.015414972024287536,0.015414873263525619,0.9966838651993988,3.947192548810377e22,8.992305979570259e8,0.11764899999999995,true,3.871782175162842e24,-6.280493632583467e22,1.4277892015077748e23,6.790858239044966e22,864.6732117837674,273.94408998574255,109.01105547340197,250.1771631174512,9.117182346996495,0.03975068545015355,0.14020568496155716,1.033746609796952,-0.3300860162663447,0.03240466665479793,-0.01197774913666
7,0.0098375673062967,0.015396422136638077,0.015396643994594039,1.0120975572308368,5.706663352989795e22,1.2841436106647146e9,0.08235429999999996,true,3.821961993879209e24,-9.041371763678362e22,1.4520373396524205e23,7.044347327389839e22,881.4189133607684,275.39124129205544,106.13980519333408,249.43961179640405,9.117607484098814,0.03942262700649151,0.1384209513186128,1.033776034642175,-0.33007205701428244,0.03228026396657279,-0.012010826463378763
8,0.009813351682507757,0.015377460960854253,0.015377623496612093,1.0086408172369192,8.314127180172166e22,1.834000774964729e9,0.05764800999999997,true,3.7491883402069165e24,-1.3054216759620593e23,1.4691980019213245e23,7.224042306509224e22,904.6844497171625,276.9443853759025,104.16745017376839,248.91404462967,9.117943589451144,0.03929985293102143,0.13699983791007933,1.033785797204571,-0.33006804171268045,0.03219786427444382,-0.012028321373053149
9,0.009782422984592164,0.015353209298817797,0.01535304511187226,0.9932807016509776,1.221745007290114e23,2.6194473382032595e9,0.04035360699999998,true,3.6421049881725546e24,-1.8933556753390464e23,1.4813644587475762e23,7.351331053729902e22,939.1156362133459,278.8516173215487,102.80497450492274,248.53624164241424,9.118228295344204,0.039351664568676115,0.1357972754549822,1.0337794332060155,-0.33007175793151694,0.03214605854964885,-0.012034673465387218
10,0.009739542350257018,0.015319522429764995,0.015317315449617883,0.9385812286246816,1.8199647590390807e23,3.7413988719660563e9,0.028247524899999984,true,3.482341845891037e24,-2.76496330954906e23,1.4897257676751418e23,7.438383611173996e22,993.187246049462,281.49389549543577,101.89027780022674,248.26530860132902,9.118496371051101,0.03960134913556558,0.13467121005789345,1.0337550409087422,-0.3300839149970227,0.03212019480555267,-0.012030543752469907
